,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
11541,No Viniste,77ytnawf5W8AOmmK7lqxpG,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.683,0.439,7,-9.296,1,0.0497,0.455,0.000263,0.0716,0.573,113.004,spotify:track:77ytnawf5W8AOmmK7lqxpG,https://api.spotify.com/v1/tracks/77ytnawf5W8AOmmK7lqxpG,https://api.spotify.com/v1/audio-analysis/77ytnawf5W8AOmmK7lqxpG,245453,4,7
11542,同桌的你,3nowfjwegM5e8lZFIZs5AR,Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,0.407,0.264,2,-8.726,1,0.0309,0.915,0.0,0.0895,0.144,132.691,spotify:track:3nowfjwegM5e8lZFIZs5AR,https://api.spotify.com/v1/tracks/3nowfjwegM5e8lZFIZs5AR,https://api.spotify.com/v1/audio-analysis/3nowfjwegM5e8lZFIZs5AR,264800,4,7
11543,傷痕 (Scar),6VxhDu5ZEZt4Wt87b1y46W,Tiger Hu,3PpIzdLny8HwTnKp9joXdj,0.534,0.448,10,-8.131,1,0.0494,0.422,0.0,0.0711,0.473,143.953,spotify:track:6VxhDu5ZEZt4Wt87b1y46W,https://api.spotify.com/v1/tracks/6VxhDu5ZEZt4Wt87b1y46W,https://api.spotify.com/v1/audio-analysis/6VxhDu5ZEZt4Wt87b1y46W,269240,3,3
11544,愛夏,6HmwlGCtJ0yjQDWywwW3tg,Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,0.568,0.601,10,-6.508,1,0.0255,0.339,0.0,0.127,0.507,129.975,spotify:track:6HmwlGCtJ0yjQDWywwW3tg,https://api.spotify.com/v1/tracks/6HmwlGCtJ0yjQDWywwW3tg,https://api.spotify.com/v1/audio-analysis/6HmwlGCtJ0yjQDWywwW3tg,271480,4,0
11545,HU Song: Experience the God Sound,7jdErdOvqjxhdlEzmIRYJs,ECKANKAR,7suI8cQHWxbCBafwVQwZqs,0.105,0.256,2,-19.631,1,0.0451,0.996,0.978,0.0657,0.0351,74.123,spotify:track:7jdErdOvqjxhdlEzmIRYJs,https://api.spotify.com/v1/tracks/7jdErdOvqjxhdlEzmIRYJs,https://api.spotify.com/v1/audio-analysis/7jdErdOvqjxhdlEzmIRYJs,1203613,3,2
11546,The Song of Hu,7kb7SIhn4iOSH99R5dsOZ1,David Young,2PwjjlrSzkcoc2AqKa0FiM,0.275,0.193,5,-17.734,1,0.0408,0.964,0.946,0.0859,0.124,63.743,spotify:track:7kb7SIhn4iOSH99R5dsOZ1,https://api.spotify.com/v1/tracks/7kb7SIhn4iOSH99R5dsOZ1,https://api.spotify.com/v1/audio-analysis/7kb7SIhn4iOSH99R5dsOZ1,314267,3,6
11547,The Song of Hu,3SXdMzrSqkOTMbmfrNETwP,Relaxing Spa Music,7B8bzfiNYRSCKXElRPtWiE,0.275,0.193,5,-17.734,1,0.0408,0.964,0.946,0.0859,0.124,63.743,spotify:track:3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/tracks/3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/audio-analysis/3SXdMzrSqkOTMbmfrNETwP,314267,3,6
11548,The Song of Hu,3SXdMzrSqkOTMbmfrNETwP,Yoga Sounds,1XZMjM5slKjmsl55IlbHCH,0.275,0.193,5,-17.734,1,0.0408,0.964,0.946,0.0859,0.124,63.743,spotify:track:3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/tracks/3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/audio-analysis/3SXdMzrSqkOTMbmfrNETwP,314267,3,6
11549,The Song of Hu,3SXdMzrSqkOTMbmfrNETwP,Yoga Soul,08u9L6t2nbl4zHMkQ642d2,0.275,0.193,5,-17.734,1,0.0408,0.964,0.946,0.0859,0.124,63.743,spotify:track:3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/tracks/3SXdMzrSqkOTMbmfrNETwP,https://api.spotify.com/v1/audio-analysis/3SXdMzrSqkOTMbmfrNETwP,314267,3,6
11550,Hu Yavo (He Will Come),7LjJbXH6sGFFzXg0ah6lA3,Joshua Aaron,7hR5qFME3Zu6i775XdrKEv,0.45,0.932,0,-3.257,1,0.0868,0.046,0.0,0.336,0.552,119.97,spotify:track:7LjJbXH6sGFFzXg0ah6lA3,https://api.spotify.com/v1/tracks/7LjJbXH6sGFFzXg0ah6lA3,https://api.spotify.com/v1/audio-analysis/7LjJbXH6sGFFzXg0ah6lA3,183078,4,0
